Level,Name,Inclusive Samples,Exclusive Samples,% Inclusive,% Exclusive,Details
9,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::insert<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<SESSION *> >,std::_Iterator_base0> >,13,0,0.0355191256830601,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::insert<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<SESSION *> >,std::_Iterator_base0> >:xhash:1080
10,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::emplace<SESSION * const &>,13,0,0.0355191256830601,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::emplace<SESSION * const &>:xhash:592
5,mt_iocp_server_viewoptisector.exe!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj,58,1,0.158469945355191,0.00273224043715847,mt_iocp_server_viewOptiSector!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj:iocp_main.cpp:328
6,mt_iocp_server_viewoptisector.exe!send_add_player,23,0,0.0628415300546448,0,mt_iocp_server_viewOptiSector!send_add_player:iocp_main.cpp:182
7,mt_iocp_server_viewoptisector.exe!send_packet,23,0,0.0628415300546448,0,mt_iocp_server_viewOptiSector!send_packet:iocp_main.cpp:75
8,ws2_32.dll!WSASend,23,0,0.0628415300546448,0,ws2_32!WSASend
9,mswsock.dll!WSPSend,23,0,0.0628415300546448,0,mswsock!WSPSend
10,ntdll.dll!NtDeviceIoControlFile,23,0,0.0628415300546448,0,ntdll!NtDeviceIoControlFile
11,ntoskrnl.exe!KiSystemServiceCopyEnd,23,0,0.0628415300546448,0,ntoskrnl!KiSystemServiceCopyEnd
12,ntoskrnl.exe!NtDeviceIoControlFile,23,0,0.0628415300546448,0,ntoskrnl!NtDeviceIoControlFile
13,ntoskrnl.exe!IopXxxControlFile,23,0,0.0628415300546448,0,ntoskrnl!IopXxxControlFile
14,afd.sys!AfdFastIoDeviceControl,19,1,0.0519125683060109,0.00273224043715847,afd!AfdFastIoDeviceControl
15,afd.sys!AfdFastConnectionSend,18,0,0.0491803278688525,0,afd!AfdFastConnectionSend
16,afd.sys!AfdTLStartBufferedVcSend,18,0,0.0491803278688525,0,afd!AfdTLStartBufferedVcSend
17,tcpip.sys!TcpTlConnectionSend,18,0,0.0491803278688525,0,tcpip!TcpTlConnectionSend
18,ntoskrnl.exe!KeExpandKernelStackAndCalloutEx,18,0,0.0491803278688525,0,ntoskrnl!KeExpandKernelStackAndCalloutEx
19,ntoskrnl.exe!KeExpandKernelStackAndCalloutInternal,18,0,0.0491803278688525,0,ntoskrnl!KeExpandKernelStackAndCalloutInternal
20,tcpip.sys!TcpTlConnectionSendCalloutRoutine,18,0,0.0491803278688525,0,tcpip!TcpTlConnectionSendCalloutRoutine
21,tcpip.sys!TcpEnqueueTcbSend,18,0,0.0491803278688525,0,tcpip!TcpEnqueueTcbSend
22,tcpip.sys!TcpTcbSend,16,0,0.0437158469945355,0,tcpip!TcpTcbSend
23,tcpip.sys!IpNlpFastSendDatagram,12,0,0.0327868852459016,0,tcpip!IpNlpFastSendDatagram
24,tcpip.sys!IppSendDatagramsCommon,12,0,0.0327868852459016,0,tcpip!IppSendDatagramsCommon
25,tcpip.sys!IpNlpFastContinueSendLoopbackDatagrams,12,0,0.0327868852459016,0,tcpip!IpNlpFastContinueSendLoopbackDatagrams
26,tcpip.sys!IppLoopbackEnqueue,12,0,0.0327868852459016,0,tcpip!IppLoopbackEnqueue
27,ntoskrnl.exe!KeExpandKernelStackAndCalloutEx,12,0,0.0327868852459016,0,ntoskrnl!KeExpandKernelStackAndCalloutEx
28,ntoskrnl.exe!KeExpandKernelStackAndCalloutInternal,12,0,0.0327868852459016,0,ntoskrnl!KeExpandKernelStackAndCalloutInternal
29,ntoskrnl.exe!KiExpandKernelStackAndCalloutSwitchStack,12,0,0.0327868852459016,0,ntoskrnl!KiExpandKernelStackAndCalloutSwitchStack
30,ntoskrnl.exe!KiExpandKernelStackAndCalloutOnStackSegment,12,0,0.0327868852459016,0,ntoskrnl!KiExpandKernelStackAndCalloutOnStackSegment
31,ntoskrnl.exe!KiSwitchKernelStackContinue,11,0,0.0300546448087432,0,ntoskrnl!KiSwitchKernelStackContinue
32,ntoskrnl.exe!KxSwitchKernelStackCallout,11,0,0.0300546448087432,0,ntoskrnl!KxSwitchKernelStackCallout
33,tcpip.sys!IppLbTransmitStackCallout,11,0,0.0300546448087432,0,tcpip!IppLbTransmitStackCallout
34,tcpip.sys!IppLbIndicatePackets,11,0,0.0300546448087432,0,tcpip!IppLbIndicatePackets
35,tcpip.sys!TcpNlClientReceivePreValidatedDatagrams,11,0,0.0300546448087432,0,tcpip!TcpNlClientReceivePreValidatedDatagrams
36,tcpip.sys!TcpReceive,11,0,0.0300546448087432,0,tcpip!TcpReceive
37,tcpip.sys!TcpMatchReceive,10,1,0.0273224043715847,0.00273224043715847,tcpip!TcpMatchReceive
38,tcpip.sys!TcpTcbReceive,9,0,0.0245901639344262,0,tcpip!TcpTcbReceive
39,tcpip.sys!TcpTcbFastDatagram,8,0,0.0218579234972678,0,tcpip!TcpTcbFastDatagram
6,mt_iocp_server_viewoptisector.exe!std::lock_guard<std::mutex>::lock_guard<std::mutex>,11,3,0.0300546448087432,0.00819672131147541,mt_iocp_server_viewOptiSector!std::lock_guard<std::mutex>::lock_guard<std::mutex>:mutex:428
7,mt_iocp_server_viewoptisector.exe!std::_Mutex_base::lock,8,1,0.0218579234972678,0.00273224043715847,mt_iocp_server_viewOptiSector!std::_Mutex_base::lock:mutex:50
6,mt_iocp_server_viewoptisector.exe!std::array<SESSION,50001>::operator[],10,8,0.0273224043715847,0.0218579234972678,mt_iocp_server_viewOptiSector!std::array<SESSION,50001>::operator[]:array:539
4,mt_iocp_server_viewoptisector.exe!worker,46,1,0.12568306010929,0.00273224043715847,mt_iocp_server_viewOptiSector!worker:iocp_main.cpp:365
5,kernelbase.dll!GetQueuedCompletionStatus,34,0,0.092896174863388,0,KernelBase!GetQueuedCompletionStatus
6,ntdll.dll!NtRemoveIoCompletion,34,1,0.092896174863388,0.00273224043715847,ntdll!NtRemoveIoCompletion
7,ntoskrnl.exe!KiSystemServiceCopyEnd,32,0,0.087431693989071,0,ntoskrnl!KiSystemServiceCopyEnd
8,ntoskrnl.exe!NtRemoveIoCompletion,32,0,0.087431693989071,0,ntoskrnl!NtRemoveIoCompletion
9,ntoskrnl.exe!IoRemoveIoCompletion,31,0,0.0846994535519126,0,ntoskrnl!IoRemoveIoCompletion
10,ntoskrnl.exe!KeRemoveQueueEx,31,0,0.0846994535519126,0,ntoskrnl!KeRemoveQueueEx
11,ntoskrnl.exe!KiCommitThreadWait,31,0,0.0846994535519126,0,ntoskrnl!KiCommitThreadWait
12,ntoskrnl.exe!KiSwapThread,31,5,0.0846994535519126,0.0136612021857923,ntoskrnl!KiSwapThread
13,ntoskrnl.exe!KiDeliverApc,14,1,0.0382513661202186,0.00273224043715847,ntoskrnl!KiDeliverApc
14,ntoskrnl.exe!EtwpStackWalkApc,13,0,0.0355191256830601,0,ntoskrnl!EtwpStackWalkApc
15,ntoskrnl.exe!EtwpTraceStackWalk,13,0,0.0355191256830601,0,ntoskrnl!EtwpTraceStackWalk
16,ntoskrnl.exe!RtlWalkFrameChain,13,0,0.0355191256830601,0,ntoskrnl!RtlWalkFrameChain
17,ntoskrnl.exe!RtlpWalkFrameChain,13,0,0.0355191256830601,0,ntoskrnl!RtlpWalkFrameChain
18,ntoskrnl.exe!RtlpLookupFunctionEntryForStackWalks,8,7,0.0218579234972678,0.0191256830601093,ntoskrnl!RtlpLookupFunctionEntryForStackWalks
13,ntoskrnl.exe!KiSwapContext,12,0,0.0327868852459016,0,ntoskrnl!KiSwapContext
14,ntoskrnl.exe!SwapContext,12,0,0.0327868852459016,0,ntoskrnl!SwapContext
15,ntoskrnl.exe!EtwTraceContextSwap,10,0,0.0273224043715847,0,ntoskrnl!EtwTraceContextSwap
16,ntoskrnl.exe!EtwpLogContextSwapEvent,10,0,0.0273224043715847,0,ntoskrnl!EtwpLogContextSwapEvent
17,ntoskrnl.exe!EtwpStackTraceDispatcher,10,0,0.0273224043715847,0,ntoskrnl!EtwpStackTraceDispatcher
